Target: C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\nunitlite-4.5.csproj
Minimum depth:20
Config: sub+vec
Runtime in ms: 1870
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (454,12)-(455,85) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (413,12)-(414,66)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (454,12)-(455,85) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (416,12)-(417,59)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (454,12)-(455,85) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (419,12)-(420,71)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (454,12)-(455,85) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (429,12)-(430,64)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (454,12)-(455,85) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (432,12)-(433,60)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (454,12)-(455,85) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (435,12)-(436,57)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\Options.cs: (470,12)-(473,37) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\Options.cs: (450,24)-(453,49)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\Options.cs: (971,39)-(974,13) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\Options.cs: (975,17)-(978,13)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\Options.cs: (999,16)-(1001,17) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\Options.cs: (989,16)-(991,17)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\OutputManager.cs: (100,12)-(120,13) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\OutputManager.cs: (64,12)-(84,13)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\OutputWriters\NUnit2XmlOutputWriter.cs: (225,16)-(225,122) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\OutputWriters\NUnit3XmlOutputWriter.cs: (112,12)-(112,115)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\OutputWriters\NUnit3XmlOutputWriter.cs: (112,12)-(112,114) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\OutputWriters\NUnit2XmlOutputWriter.cs: (225,16)-(225,121)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\ResultSummary.cs: (206,20)-(213,30) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\ResultSummary.cs: (217,20)-(224,30)
